ID,Zip_Code,Total_Population,Has?
672,2807,830,0
673,2808,2540,0
674,2809,22318,0
675,2812,1348,0
676,2813,7762,0
677,2814,7616,0
678,2815,195,0
679,2816,32664,0
680,2817,6084,0
681,2818,18348,0
682,2822,6424,0
683,2825,5391,0
684,2826,773,0
685,2827,2047,0
686,2828,7683,0
687,2830,5649,0
688,2831,3260,0
689,2832,4708,0
690,2833,900,0
691,2835,5505,0
692,2836,135,0
693,2837,3521,0
694,2838,3904,0
695,2839,1782,0
696,2840,23267,0
697,2841,1499,0
698,2842,16079,1
699,2852,22129,0
700,2857,9044,0
701,2858,733,0
702,2859,7426,0
703,2860,46958,0
704,2861,25163,0
705,2863,19395,0
706,2864,34452,0
707,2865,16784,1
708,2871,17165,0
709,2872,298,0
710,2873,215,0
711,2874,6245,0
712,2875,611,0
713,2876,180,0
714,2878,15870,0
715,2879,20736,0
716,2881,7842,0
717,2882,13654,0
718,2885,10492,0
719,2886,28695,1
720,2888,19328,0
721,2889,27461,0
722,2891,21031,0
723,2892,4977,0
724,2893,29260,0
725,2894,586,0
726,2895,41508,0
727,2896,12121,0
728,2898,1441,0
729,2903,10890,0
730,2904,30702,0
731,2905,25497,0
732,2906,28745,1
733,2907,29006,0
734,2908,37309,0
735,2909,41524,0
736,2910,21607,0
737,2911,15812,0
738,2912,1362,0
739,2914,21533,0
740,2915,16778,0
741,2916,8991,0
742,2917,13956,1
743,2919,29159,1
744,2920,37153,1
745,2921,12885,0
746,3031,11412,0
747,3032,5293,0
748,3033,5190,0
749,3034,3974,0
750,3036,4935,0
751,3037,4380,0
752,3038,33617,0
753,3042,6835,0
754,3043,1593,0
755,3044,4498,0
756,3045,13955,0
757,3046,2788,0
758,3047,1748,0
759,3048,3357,0
760,3049,7779,0
761,3051,24856,0
762,3052,8426,0
763,3053,24854,0
764,3054,25566,0
765,3055,15117,0
766,3057,2554,0
767,3060,29861,1
768,3062,27343,0
769,3063,16326,0
770,3064,14112,0
771,3070,5464,0
772,3071,5236,0
773,3076,13323,0
774,3077,10415,0
775,3079,29039,0
776,3082,1734,0
777,3084,1408,0
778,3086,3760,0
779,3087,14344,0
780,3101,2542,0
781,3102,31841,0
782,3103,37087,1
783,3104,32223,0
784,3106,13987,0
785,3109,10852,0
786,3110,22019,1
787,3215,191,0
788,3216,2517,0
789,3217,2242,0
790,3218,821,0
791,3220,7354,0
792,3221,2284,0
793,3222,5822,0
794,3223,3365,0
795,3224,2248,0
796,3225,3709,0
797,3226,1000,0
798,3227,1025,0
799,3229,5614,0
800,3230,1369,0
801,3231,266,0
802,3233,93,0
803,3234,4652,0
804,3235,8607,0
805,3237,2082,0
806,3238,127,0
807,3240,1177,0
808,3241,804,0
809,3242,4893,0
810,3243,946,0
811,3244,8039,0
812,3245,2147,0
813,3246,16237,0
814,3249,7111,0
815,3251,1283,0
816,3253,6273,0
817,3254,4101,0
818,3255,1899,0
819,3256,2303,0
820,3257,4711,0
821,3258,2623,0
822,3259,298,0
823,3260,714,0
824,3261,4312,0
825,3262,926,0
826,3263,4058,0
827,3264,7152,0
828,3266,2319,0
829,3268,1130,0
830,3269,2973,0
831,3273,354,0
832,3275,11452,0
833,3276,8291,0
834,3278,2882,0
835,3279,704,0
836,3280,1265,0
837,3281,8921,0
838,3282,822,0
839,3284,767,0
840,3285,2024,0
841,3287,1389,0
842,3290,4911,0
843,3291,21,0
844,3293,290,0
845,3301,32402,1
846,3303,16144,0
847,3304,7718,0
848,3307,5403,0
849,3431,25537,1
850,3440,2673,0
851,3441,195,0
852,3442,1411,0
853,3443,730,0
854,3444,1479,0
855,3445,733,0
856,3446,5892,0
857,3447,2307,0
858,3448,714,0
859,3449,1861,0
860,3450,913,0
861,3451,3978,0
862,3452,5314,0
863,3455,2149,0
864,3456,708,0
865,3457,675,0
866,3458,6790,0
867,3461,6005,0
868,3462,1498,0
869,3464,1093,0
870,3465,2182,0
871,3466,1361,0
872,3467,1779,0
873,3470,5203,0
874,3561,5916,0
875,3570,10273,0
876,3574,2545,0
877,3575,90,0
878,3576,3003,0
879,3579,355,0
880,3580,1398,0
881,3581,3041,0
882,3582,2503,0
883,3583,1001,0
884,3584,3726,0
885,3585,2683,0
886,3586,611,0
887,3588,1578,0
888,3590,870,0
889,3592,1122,0
890,3593,416,0
891,3595,656,0
892,3597,366,0
893,3598,3195,0
894,3601,442,0
895,3602,2749,0
896,3603,5301,0
897,3604,388,0
898,3605,864,0
899,3607,468,0
900,3608,2623,0
901,3609,798,0
902,3740,689,0
903,3741,3968,0
904,3743,13739,0
905,3745,1496,0
906,3746,281,0
907,3748,4718,0
908,3750,770,0
909,3751,504,0
910,3752,732,0
911,3753,2952,0
912,3754,158,0
913,3755,10891,0
914,3765,564,0
915,3766,9275,0
916,3768,1696,0
917,3770,500,0
918,3771,939,0
919,3773,7611,0
920,3774,2061,0
921,3777,1581,0
922,3779,866,0
923,3780,603,0
924,3781,1939,0
925,3782,3038,0
926,3784,4100,0
927,3785,2125,0
928,3801,22463,1
929,3809,3470,0
930,3810,1882,0
931,3811,6751,0
932,3812,553,0
933,3813,2629,0
934,3814,2344,0
935,3816,1336,0
936,3817,703,0
937,3818,4046,0
938,3819,4479,0
939,3820,30938,1
940,3823,1869,0
941,3824,16148,0
942,3825,9006,0
943,3826,2283,0
944,3827,3227,0
945,3830,2205,0
946,3832,345,0
947,3833,21679,0
948,3835,6834,0
949,3836,1314,0
950,3837,1658,0
951,3838,1033,0
952,3839,3863,0
953,3840,4011,0
954,3841,6373,0
955,3842,15243,0
956,3844,2332,0
957,3845,1226,0
958,3846,957,0
959,3847,357,0
960,3848,6123,0
961,3849,1371,0
962,3850,335,0
963,3851,3942,0
964,3852,660,0
965,3853,514,0
966,3854,917,0
967,3855,2663,0
968,3856,1559,0
969,3857,9003,0
970,3858,4824,0
971,3860,4299,0
972,3861,4375,0
973,3862,4428,0
974,3864,1651,0
