,0,Zip_Code,Total_Population,Median_Income,num_of_fast_food,num_of_mex_restaurants
219,0.5935029609725885,1238.0,5917.0,67708.0,34.0,21.0
220,0.5945342790477747,1240.0,4493.0,68948.0,34.0,16.0
221,0.6145273368021723,1242.0,475.0,81172.0,12.0,30.0
222,0.7020298159403929,1243.0,333.0,71979.0,11.0,387.0
224,0.598116811600938,1245.0,803.0,69821.0,19.0,10.0
225,0.5639948477142529,1247.0,15703.0,40928.0,52.0,35.0
226,0.7341449703197923,1253.0,742.0,74554.0,12.0,488.0
227,0.6328111506791592,1254.0,977.0,92083.0,5.0,60.0
228,0.6216233768136649,1255.0,859.0,68636.0,1200.0,534.0
229,0.5852265889868015,1256.0,764.0,55375.0,17.0,10.0
230,0.5893334619637995,1257.0,2138.0,59500.0,11.0,14.0
231,0.589310835352446,1258.0,357.0,57917.0,11.0,14.0
232,0.5927177531446547,1259.0,506.0,62727.0,12.0,11.0
234,0.5693644932422273,1262.0,1110.0,36042.0,33.0,22.0
235,0.61488403873953,1264.0,205.0,80000.0,6.0,33.0
236,0.6024346399410249,1266.0,1360.0,74107.0,20.0,14.0
237,0.6025189595231769,1267.0,7853.0,78068.0,65.0,37.0
238,0.692799339913126,1270.0,813.0,80000.0,14.0,328.0
239,0.5646241910967962,1301.0,17715.0,48477.0,19.0,5.0
240,0.6475542025284422,1330.0,1468.0,74167.0,13.0,188.0
241,0.5748514768210969,1331.0,13281.0,53733.0,116.0,50.0
242,0.5916731598249653,1337.0,2626.0,66085.0,20.0,5.0
243,0.592724029256272,1338.0,170.0,57750.0,83.0,55.0
244,0.5892240309271828,1339.0,1472.0,55313.0,111.0,64.0
245,0.5809111014068137,1340.0,1642.0,53125.0,19.0,5.0
246,0.6255403508891009,1341.0,1743.0,101023.0,32.0,12.0
247,0.6295395871314236,1342.0,1759.0,106146.0,25.0,6.0
248,0.6158624338473642,1343.0,46.0,85781.0,73.0,40.0
249,0.6569163505920704,1344.0,1518.0,70109.0,26.0,243.0
250,0.6294350609268393,1346.0,464.0,60208.0,8.0,166.0
251,0.5909356144285017,1347.0,126.0,52647.0,12.0,41.0
252,0.5995726433596391,1349.0,1231.0,61630.0,5.0,44.0
253,0.5662130462509345,1350.0,86.0,31458.0,71.0,37.0
254,0.6685291956833358,1351.0,2209.0,82548.0,24.0,241.0
255,0.6535409359462723,1354.0,1604.0,69226.0,20.0,232.0
256,0.5975516409551785,1355.0,917.0,70313.0,181.0,66.0
257,0.6546823205933449,1360.0,3012.0,69028.0,21.0,242.0
258,0.5695789306641931,1364.0,7819.0,43413.0,95.0,41.0
259,0.5922120567632676,1366.0,1218.0,65529.0,203.0,71.0
260,0.6321304396262811,1367.0,605.0,55469.0,6.0,194.0
261,0.7063185913636019,1368.0,1316.0,72813.0,18.0,406.0
262,0.5792556787337212,1370.0,4032.0,54036.0,25.0,5.0
263,0.6016152545808088,1373.0,4160.0,74022.0,52.0,33.0
264,0.5848990901282856,1375.0,3662.0,54886.0,52.0,34.0
265,0.5787223169796339,1376.0,5096.0,43750.0,18.0,42.0
266,0.6503348442851897,1378.0,744.0,57885.0,7.0,255.0
267,0.6345526445625242,1379.0,836.0,43500.0,18.0,253.0
268,0.551750478424118,1420.0,40666.0,51412.0,46.0,24.0
269,0.6082837075679344,1430.0,6210.0,85064.0,46.0,24.0
270,0.620510147790734,1431.0,3195.0,95833.0,50.0,24.0
271,0.6051870744482809,1432.0,7703.0,79750.0,87.0,51.0
272,0.6537887652557001,1434.0,1712.0,50547.0,7.0,299.0
