Zip_Code,Total_Population,Median_Income,num_of_fast_food,num_of_mex_restaurants,Labels,Brand,Address,City,State,Probability
1072,1490,72000,39,16,0,,0,0,0,60%
1073,6090,89423,137,63,0,,0,0,0,62%
1074,477,61603,,,0,,0,0,0,
1075,17755,66681,138,63,0,,0,0,0,60%
1077,9711,76737,160,44,0,,0,0,0,61%
1079,480,27105,8,15,0,,0,0,0,56%
1080,2532,49844,8,22,0,,0,0,0,58%
1081,1827,50465,400,136,0,,0,0,0,61%
1082,10637,51768,261,95,0,,0,0,0,60%
1083,3182,65547,37,7,0,,0,0,0,59%
1084,183,90625,610,250,0,,0,0,0,67%
1085,41652,62423,268,105,0,,0,0,0,60%
1086,683,-666666666,18,5,0,,0,0,0,
1088,399,51406,22,20,0,,0,0,0,58%
1089,28671,51735,177,59,1,Chipotle,219 Memorial Ave,West Springfield,MA,
1092,1133,75799,11,105,0,,0,0,0,60%
1093,348,103750,10,62,0,,0,0,0,63%
1094,327,21250,11,657,0,,0,0,0,54%
1095,14659,104128,149,53,0,,0,0,0,64%
1096,2607,77083,26,20,0,,0,0,0,60%
1097,54,-666666666,,,0,,0,0,0,
1098,1186,76563,652,270,0,,0,0,0,66%
1103,2409,16720,23,8,0,,0,0,0,55%
1104,23635,30053,113,39,0,,0,0,0,56%
1105,11601,17569,41,18,0,,0,0,0,55%
1106,16048,111231,74,31,0,,0,0,0,64%
1107,11304,26772,50,22,0,,0,0,0,56%
1108,28925,38499,76,30,0,,0,0,0,57%
1109,30125,35191,110,37,0,,0,0,0,57%
1118,14774,61112,79,29,0,,0,0,0,59%
1119,13236,47439,81,30,0,,0,0,0,58%
1128,2798,65977,12,53,0,,0,0,0,59%
1129,6750,63895,69,26,0,,0,0,0,59%
1151,8884,40360,79,31,0,,0,0,0,57%
1199,0,-666666666,,,0,,0,0,0,
1201,44775,47614,29,17,0,,0,0,0,57%
1220,8211,49777,17,10,0,,0,0,0,58%
1222,818,74583,46,33,0,,0,0,0,60%
1223,2351,77857,76,35,0,,0,0,0,61%
1224,209,38446,,,0,,0,0,0,
1225,3169,61512,31,17,0,,0,0,0,59%
1226,6839,61063,28,13,0,,0,0,0,59%
1229,86,29000,,,0,,0,0,0,
1230,8359,65214,57,42,0,,0,0,0,59%
1235,2671,63000,33,12,0,,0,0,0,59%
1236,1197,57014,6,7,0,,0,0,0,58%
1237,2662,84615,67,33,0,,0,0,0,61%
1238,5917,67708,34,21,0,,0,0,0,59%
1240,4493,68948,34,16,0,,0,0,0,60%
1242,475,81172,12,30,0,,0,0,0,61%
1243,333,71979,11,387,0,,0,0,0,59%
1244,108,55556,,,0,,0,0,0,
1245,803,69821,19,10,0,,0,0,0,60%
1247,15703,40928,52,35,0,,0,0,0,57%
1253,742,74554,12,488,0,,0,0,0,59%
1254,977,92083,5,60,0,,0,0,0,61%
1255,859,68636,1200,534,0,,0,0,0,69%
1256,764,55375,17,10,0,,0,0,0,58%
1257,2138,59500,11,14,0,,0,0,0,59%
1258,357,57917,11,14,0,,0,0,0,58%
1259,506,62727,12,11,0,,0,0,0,59%
1260,447,112756,,,0,,0,0,0,
1262,1110,36042,33,22,0,,0,0,0,57%
1264,205,80000,6,33,0,,0,0,0,60%
1266,1360,74107,20,14,0,,0,0,0,60%
1267,7853,78068,65,37,0,,0,0,0,61%
1270,813,80000,14,328,0,,0,0,0,60%
1301,17715,48477,19,5,0,,0,0,0,57%
1330,1468,74167,13,188,0,,0,0,0,60%
1331,13281,53733,116,50,0,,0,0,0,59%
1337,2626,66085,20,5,0,,0,0,0,59%
1338,170,57750,83,55,0,,0,0,0,59%
1339,1472,55313,111,64,0,,0,0,0,59%
1340,1642,53125,19,5,0,,0,0,0,58%
1341,1743,101023,32,12,0,,0,0,0,63%
1342,1759,106146,25,6,0,,0,0,0,63%
1343,46,85781,73,40,0,,0,0,0,62%
1344,1518,70109,26,243,0,,0,0,0,59%
1346,464,60208,8,166,0,,0,0,0,58%
1347,126,52647,12,41,0,,0,0,0,58%
