,zip_code,num_of_fast_food,num_of_mex-restaurants
380,2339,34,16
381,2341,147,61
382,2343,83,31
383,2346,387,164
384,2347,72,21
385,2351,53,24
386,2356,176,79
387,2359,99,45
388,2360,245,121
389,2364,62,27
390,2366,63,31
391,2367,74,30
392,2368,83,32
393,2370,200,86
394,2375,164,71
395,2379,45,17
396,2382,30,12
397,2420,114,67
398,2421,119,69
399,2445,640,544
400,2446,297,264
401,2451,100,56
402,2452,53,31
403,2453,146,106
404,2457,5,56
405,2458,85,66
406,2459,323,252
407,2460,77,47
408,2461,44,22
409,2462,34,25
410,2464,20,11
411,2465,70,40
412,2466,52,34
413,2467,545,423
414,2468,43,20
415,2472,426,358
416,2474,511,416
417,2476,26,21
418,2478,391,327
419,2481,108,53
420,2482,83,45
421,2492,849,638
422,2493,540,383
423,2494,28,11
424,2532,39,23
425,2534,5,110
426,2535,45,41
427,2536,36,32
428,2537,5,5
429,2538,25,8
430,2539,11,12
431,2540,33,32
432,2542,47,32
433,2543,155,80
434,2554,14,17
435,2556,8,5
436,2557,8,10
437,2559,19,8
438,2562,9,118
439,2563,58,36
440,2564,7,10
441,2568,11,10
442,2571,41,20
443,2575,15,20
444,2576,71,30
445,2601,36,27
446,2630,36,26
447,2631,46,35
448,2632,29,21
449,2633,30,21
450,2635,9,86
451,2638,28,18
452,2639,21,14
453,2642,26,25
454,2644,11,7
455,2645,45,34
456,2646,15,8
457,2648,60,49
458,2649,57,44
459,2650,5,23
460,2652,13,19
461,2653,34,26
462,2655,18,13
463,2657,8,13
464,2659,39,28
465,2660,71,54
466,2664,36,24
467,2666,39,5
468,2667,24,32
469,2668,58,39
470,2669,6,23
471,2670,13,6
472,2671,9,6
473,2672,31,23
474,2673,56,38
475,2675,44,31
476,2702,134,42
477,2703,291,183
478,2715,22,333
479,2717,113,37
480,2718,30,10
481,2719,68,34
482,2720,46,11
483,2721,129,43
484,2723,32,7
485,2724,26,8
486,2725,59,18
487,2726,37,7
488,2738,70,31
489,2739,84,44
490,2740,52,25
491,2743,72,30
492,2744,23,15
493,2745,81,30
494,2746,52,25
495,2747,427,238
496,2748,84,33
497,2760,274,175
498,2762,44,17
499,2763,18,9
500,2764,11,5
501,2766,166,69
502,2767,88,29
503,2769,300,172
504,2770,90,35
505,2771,382,212
506,2777,258,149
507,2779,98,25
508,2780,87,33
509,2790,466,275
510,2791,72,36
511,2802,74,37
512,2804,40,23
513,2806,72,33
514,2807,546,293
515,2808,14,9
516,2809,25,14
517,2812,5,136
518,2813,45,25
519,2814,543,258
520,2816,513,281
521,2817,514,300
522,2818,179,81
523,2822,425,255
524,2825,73,22
525,2826,7,317
526,2827,33,7
527,2828,48,27
528,2830,87,31
529,2831,265,152
530,2832,33,13
531,2833,43,26
532,2835,84,60
533,2837,57,42
534,2838,15,5
535,2839,597,283
536,2840,33,31
537,2841,33,31
538,2842,54,50
539,2852,154,80
540,2857,159,73
541,2858,101,48
542,2859,50,10
543,2860,200,147
544,2861,176,132
545,2863,57,36
546,2864,286,178
547,2865,310,186
548,2871,117,67
549,2872,203,95
550,2874,88,61
551,2875,8,124
552,2878,116,59
553,2879,37,22
554,2881,24,12
555,2882,63,51
556,2885,59,19
557,2886,297,172
558,2888,193,115
559,2889,82,34
560,2891,39,25
561,2892,50,26
562,2893,90,31
563,2894,7,146
564,2895,33,9
565,2896,231,126
566,2898,55,22
567,2903,103,98
568,2904,227,156
569,2905,220,144
570,2906,108,83
571,2907,236,148
572,2908,99,95
573,2909,111,93
574,2910,62,37
575,2911,56,47
576,2912,13,9
577,2914,205,144
578,2915,166,114
579,2916,56,37
580,2917,309,180
581,2919,350,195
582,2920,196,131
583,2921,147,86
584,3031,133,71
585,3032,114,60
586,3033,53,22
587,3034,93,51
588,3036,65,27
589,3037,29,14
590,3038,171,93
591,3042,26,18
592,3043,12,6
593,3044,11,5
594,3045,90,48
595,3046,102,50
596,3047,9,6
597,3048,24,13
598,3049,96,46
599,3051,182,76
600,3052,176,80
601,3053,175,82
602,3054,178,80
603,3055,63,34
604,3057,14,5
