,zip code,num_of_fast_food
257,01879,76
258,01880,52
259,01886,65
260,01887,147
261,01890,154
262,01901,20
263,01902,30
264,01904,110
265,01905,136
266,01906,149
267,01907,79
268,01908,79
269,01913,55
270,01915,120
271,01921,86
272,01922,10
273,01923,51
274,01929,68
275,01930,41
276,01937,143
277,01938,407
278,01940,58
279,01944,17
280,01945,70
281,01949,159
282,01950,35
283,01951,29
284,01952,36
285,01960,279
286,01966,13
287,01969,31
288,01970,248
289,01982,81
290,01983,862
291,01984,108
292,01985,13
293,02019,46
294,02021,169
295,02025,14
296,02026,55
297,02030,368
298,02032,7
299,02035,65
300,02038,56
301,02043,285
302,02045,425
303,02048,92
304,02050,27
305,02052,5
306,02053,16
307,02054,12
308,02056,15
309,02061,63
310,02062,30
311,02066,34
312,02067,86
313,02071,6
314,02072,101
315,02081,115
316,02090,544
317,02093,67
318,02108,203
319,02109,168
320,02110,175
321,02111,198
322,02113,52
323,02114,188
324,02115,375
325,02116,216
326,02118,361
327,02119,282
328,02120,334
329,02121,98
330,02122,699
331,02124,36
332,02125,186
333,02126,30
334,02127,544
335,02128,489
336,02129,374
337,02130,497
338,02131,42
339,02132,262
340,02134,275
341,02135,540
342,02136,80
343,02138,578
344,02139,402
345,02140,140
346,02141,441
347,02142,198
348,02143,374
349,02144,137
350,02145,266
351,02148,393
352,02149,150
353,02150,170
354,02151,401
355,02152,295
356,02155,453
357,02163,29
358,02169,658
359,02170,20
360,02171,276
361,02176,192
362,02180,115
363,02184,44
364,02186,629
365,02188,47
366,02189,47
367,02190,34
368,02191,43
369,02199,35
370,02210,256
371,02215,346
372,02301,22
373,02302,72
374,02322,28
375,02324,32
376,02330,26
377,02332,30
378,02333,10
379,02338,46
380,02339,16
381,02341,61
382,02343,31
383,02346,164
384,02347,21
385,02351,24
386,02356,79
387,02359,45
388,02360,121
389,02364,27
390,02366,31
391,02367,30
392,02368,32
393,02370,86
394,02375,71
395,02379,17
396,02382,12
397,02420,67
398,02421,69
399,02445,544
400,02446,264
401,02451,56
402,02452,31
403,02453,106
404,02457,56
405,02458,66
406,02459,252
407,02460,47
408,02461,22
409,02462,25
410,02464,11
411,02465,40
412,02466,34
413,02467,423
414,02468,20
415,02472,358
416,02474,416
417,02476,21
418,02478,327
419,02481,53
420,02482,45
421,02492,638
422,02493,383
423,02494,11
424,02532,23
425,02534,110
426,02535,41
427,02536,32
428,02537,5
429,02538,8
430,02539,12
431,02540,32
432,02542,32
433,02543,80
434,02554,17
435,02556,5
436,02557,10
437,02559,8
438,02562,118
439,02563,36
440,02564,10
441,02568,10
442,02571,20
443,02575,20
444,02576,30
445,02601,27
446,02630,26
447,02631,35
448,02632,21
449,02633,21
450,02635,86
451,02638,18
452,02639,14
453,02642,25
454,02644,7
455,02645,34
456,02646,8
457,02648,49
458,02649,44
459,02650,23
460,02652,19
461,02653,26
462,02655,13
463,02657,13
464,02659,28
465,02660,54
466,02664,24
467,02666,5
468,02667,32
469,02668,39
470,02669,23
471,02670,6
472,02671,6
473,02672,23
474,02673,38
475,02675,31
476,02702,42
477,02703,183
478,02715,333
479,02717,37
480,02718,10
481,02719,34
482,02720,11
483,02721,43
484,02723,7
485,02724,8
486,02725,18
487,02726,7
488,02738,31
489,02739,44
490,02740,25
491,02743,30
492,02744,15
493,02745,30
494,02746,25
495,02747,238
496,02748,33
497,02760,175
498,02762,17
499,02763,9
500,02764,5
501,02766,69
502,02767,29
503,02769,172
504,02770,35
505,02771,212
506,02777,149
507,02779,25
508,02780,33
509,02790,275
510,02791,36
511,02802,37
512,02804,23
513,02806,33
514,02807,293
515,02808,9
516,02809,14
517,02812,136
518,02813,25
519,02814,258
520,02816,281
521,02817,300
522,02818,81
523,02822,255
524,02825,22
