Total Population,ZIP Code,Median Income
952,2466,33946
2007,2467,22175
532,2468,92464
2101,2472,48877
1822,2474,53366
1463,2476,54405
2862,2478,55368
1842,2481,51852
1134,2482,61776
1525,2492,57922
942,2493,62336
687,2494,55308
875,2532,35392
40,2534,28410
385,2535,31319
1339,2536,34375
511,2537,38750
150,2538,29118
216,2539,40276
770,2540,31452
172,2542,31154
82,2543,40433
1039,2554,40803
183,2556,40146
144,2557,49735
295,2559,30056
269,2562,41144
714,2563,35810
30,2564,50375
237,2568,31213
516,2571,31352
147,2575,38474
235,2576,39016
972,2601,25656
142,2630,41268
598,2631,35453
863,2632,36823
387,2633,35299
181,2635,33607
289,2638,34045
228,2639,29055
438,2642,31003
215,2644,31182
703,2645,36608
186,2646,31619
367,2648,36688
1313,2649,34651
106,2650,43438
78,2652,35265
532,2653,30707
348,2655,35713
289,2657,30166
104,2659,30906
614,2660,30485
621,2664,28843
55,2666,26484
277,2667,25074
170,2668,36685
17,2669,22454
169,2670,38500
95,2671,29792
16,2672,57768
547,2673,33155
576,2675,33505
361,2702,35907
2617,2703,34559
206,2715,47123
415,2717,36928
339,2718,32727
1318,2719,31153
2553,2720,26135
1607,2721,20331
828,2723,21855
975,2724,21370
135,2725,25119
1104,2726,33746
528,2738,32926
346,2739,45325
3736,2740,22754
694,2743,31265
838,2744,20336
2079,2745,30224
1312,2746,19807
2148,2747,22318
842,2748,32844
1923,2760,38316
472,2762,39587
156,2763,49214
234,2764,38147
1724,2766,36735
953,2767,40237
852,2769,40582
505,2770,47146
737,2771,41775
909,2777,34590
369,2779,41803
3350,2780,30010
1040,2790,32515
16,2791,50802
32,2802,41659
112,2804,41445
1536,2806,51719
96,2807,32241
115,2808,36499
1845,2809,28042
91,2812,46452
702,2813,34809
629,2814,40112
2017,2816,33605
363,2817,45787
1564,2818,48953
359,2822,40693
414,2825,34366
36,2826,28551
288,2827,33690
651,2828,33478
368,2830,35036
243,2831,41700
268,2832,36218
50,2833,28098
329,2835,49747
361,2837,34948
213,2838,26739
89,2839,27411
2145,2840,31369
213,2841,38125
1316,2842,32848
2024,2852,37871
573,2857,36914
27,2858,21250
558,2859,30674
3577,2860,22451
2248,2861,28160
1325,2863,16433
2197,2864,38655
1269,2865,37747
1133,2871,40820
15,2872,27353
528,2874,51035
30,2875,46650
1246,2878,38694
1879,2879,34299
1162,2881,4923
910,2882,30590
926,2885,31618
2119,2886,35688
1319,2888,36255
2451,2889,35283
1445,2891,31859
311,2892,40132
1718,2893,29857
29,2894,22361
3161,2895,23051
1075,2896,36580
79,2898,39904
1105,2903,13405
1512,2904,27360
1915,2905,20273
2686,2906,32594
1360,2907,17896
2620,2908,21552
2161,2909,21365
1255,2910,30421
1188,2911,32599
326,2912,3245
1257,2914,26751
1105,2915,32023
737,2916,40811
1336,2917,26359
1436,2919,35051
2821,2920,28315
831,2921,43632
851,3031,49628
456,3032,44256
476,3033,53750
362,3034,38823
417,3036,54080
412,3037,39989
2254,3038,35238
390,3042,37063
404,3043,40489
420,3044,39767
1036,3045,38517
500,3046,42000
445,3047,32042
619,3048,31717
449,3049,51598
1355,3051,39551
467,3052,40654
2311,3053,40610
1573,3054,44579
1131,3055,34586
413,3057,39229
1928,3060,27671
2178,3062,41278
1285,3063,36806
1035,3064,29940
485,3070,47239
265,3071,37893
1176,3076,40744
658,3077,35149
1852,3079,37480
437,3082,39250
290,3084,30120
300,3086,34763
794,3087,54709
247,3101,20694
2662,3102,27266
2520,3103,26841
2897,3104,31771
1116,3106,34425
562,3109,40976
1303,3110,51474
64,3215,52000
328,3216,34310
211,3217,22463
57,3218,32596
342,3220,31701
489,3221,31977
848,3222,28535
141,3223,37976
357,3224,38304
304,3225,33455
189,3226,35917
255,3227,34261
316,3229,41770
271,3230,36066
27,3231,31932
383,3234,35011
717,3235,26156
162,3237,36341
32,3238,17045
262,3240,28214
225,3241,32072
411,3242,30122
224,3243,33370
745,3244,33922
246,3245,27349
1186,3246,26723
500,3249,35547
137,3251,26250
497,3253,34446
388,3254,36807
286,3255,41473
293,3256,31417
615,3257,24186
356,3258,39078
75,3259,38793
86,3260,38500
378,3261,37768
155,3262,23182
313,3263,29643
583,3264,13433
589,3266,30217
287,3268,37336
450,3269,31973
43,3273,50114
822,3275,35570
696,3276,30916
474,3278,31719
206,3279,24063
273,3280,34107
489,3281,41873
232,3282,28878
167,3284,33333
253,3285,30503
280,3287,37055
483,3290,41128
27,3293,35758
2916,3301,31804
1821,3303,31870
768,3304,45332
251,3307,34478
2471,3431,25572
398,3440,28855
17,3441,21905
320,3442,36845
31,3443,45195
328,3444,32065
241,3445,29758
316,3446,27445
346,3447,27202
300,3448,27969
459,3449,40294
227,3450,37895
299,3451,28157
332,3452,27708
299,3455,27910
247,3456,32000
232,3457,32406
540,3458,40525
671,3461,25243
82,3462,40417
237,3464,32781
276,3465,31305
74,3466,37463
439,3467,36037
553,3470,26707
290,3561,24618
913,3570,21744
339,3574,26703
556,3576,27774
140,3579,24375
342,3580,32052
481,3581,31156
478,3582,22265
224,3583,28050
379,3584,26614
804,3585,25116
201,3586,38162
486,3588,27337
288,3590,18819
280,3592,25139
157,3593,33194
179,3595,27177
50,3597,14901
532,3598,25587
144,3601,23015
488,3602,30815
300,3603,23848
16,3604,53701
214,3605,32348
122,3607,26985
229,3608,34418
67,3609,36223
155,3740,29655
391,3741,30172
1015,3743,28362
347,3745,36474
65,3746,47386
249,3748,33858
65,3750,52200
46,3751,25833
226,3752,29375
173,3753,51202
1477,3755,17776
45,3765,28438
513,3766,40187
428,3768,44946
73,3770,24653
288,3771,27313
716,3773,30550
175,3774,24799
